FAC 1.1.5
Endian	= 0
TSess	= 1570375361
Type	= 1
Verbose	= 1
Ge Z	=  32.0
NBlocks	= 1
E0	= 0, -4.90495729E+04

NELE	= 10
NLEV	= 241
  ILEV  IBASE    ENERGY       P   VNL   2J
    82     -1  1.87170830E+03 0   501    2 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p+1(3)2
    83     -1  1.87202975E+03 0   501    4 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p+1(3)4
    84     -1  1.87500825E+03 0   501    0 1*2.2*7.5*1                      2p5.5p1                                          2p+3(3)3.5p+1(3)0
    85     -1  1.87944387E+03 1   401    0 1*2.2*7.4*1                      2s1.4p1                                          2s+1(1)1.4p-1(1)0
    86     -1  1.88004821E+03 1   401    2 1*2.2*7.4*1                      2s1.4p1                                          2s+1(1)1.4p-1(1)2
    87     -1  1.88188656E+03 1   502    0 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d-1(3)0
    88     -1  1.88204741E+03 1   502    2 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d-1(3)2
    89     -1  1.88212374E+03 1   502    4 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d+1(5)4
    90     -1  1.88226634E+03 1   502    6 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d-1(3)6
    91     -1  1.88228569E+03 1   502    8 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d+1(5)8
    92     -1  1.88271715E+03 1   502    4 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d-1(3)4
    93     -1  1.88311362E+03 1   502    6 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d+1(5)6
    94     -1  1.88356066E+03 1   401    4 1*2.2*7.4*1                      2s1.4p1                                          2s+1(1)1.4p+1(3)4
    95     -1  1.88363044E+03 1   401    2 1*2.2*7.4*1                      2s1.4p1                                          2s+1(1)1.4p+1(3)2
    96     -1  1.88523831E+03 1   502    2 1*2.2*7.5*1                      2p5.5d1                                          2p+3(3)3.5d+1(5)2
    97     -1  1.88761573E+03 0   503    2 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f-1(5)2
    98     -1  1.88784723E+03 0   503    4 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f+1(7)4
    99     -1  1.88796433E+03 0   503    8 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f-1(5)8
   100     -1  1.88802766E+03 0   503   10 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f+1(7)10
   101     -1  1.88822299E+03 0   503    6 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f+1(7)6
